Training started at 2026-02-18 20:08:41.773622
Configuration:
  Dataset: SEED (62 channels, 200Hz)
  Segment length: 4000 samples
  LR: 0.001, Min LR: 1e-06
  Batch size: 32
  Mask ratio: 0.75
  Epochs: 200
============================================================

Epoch   0 | Loss: 1.1585 | Cor: -0.0001 | LR: 4.97e-05
Epoch  85 | Loss: 0.4544 | Cor: 0.7435 | LR: 7.04e-04 ✓ BEST
Epoch  86 | Loss: 0.4532 | Cor: 0.7445 | LR: 6.96e-04 ✓ BEST
Epoch  87 | Loss: 0.4534 | Cor: 0.7445 | LR: 6.88e-04 ✓ BEST
Epoch  88 | Loss: 0.4519 | Cor: 0.7455 | LR: 6.80e-04 ✓ BEST
Epoch  89 | Loss: 0.4519 | Cor: 0.7456 | LR: 6.71e-04 ✓ BEST
Epoch  90 | Loss: 0.4516 | Cor: 0.7460 | LR: 6.63e-04 ✓ BEST
Epoch  91 | Loss: 0.4506 | Cor: 0.7460 | LR: 6.55e-04 ✓ BEST
Epoch  92 | Loss: 0.4491 | Cor: 0.7471 | LR: 6.47e-04 ✓ BEST
Epoch  93 | Loss: 0.4484 | Cor: 0.7474 | LR: 6.38e-04 ✓ BEST
Epoch  94 | Loss: 0.4481 | Cor: 0.7479 | LR: 6.30e-04 ✓ BEST
Epoch  95 | Loss: 0.4476 | Cor: 0.7481 | LR: 6.21e-04 ✓ BEST
Epoch  96 | Loss: 0.4462 | Cor: 0.7489 | LR: 6.13e-04 ✓ BEST
Epoch  97 | Loss: 0.4462 | Cor: 0.7486 | LR: 6.04e-04
Epoch  98 | Loss: 0.4455 | Cor: 0.7489 | LR: 5.96e-04
Epoch  99 | Loss: 0.4449 | Cor: 0.7490 | LR: 5.87e-04 ✓ BEST
Epoch 100 | Loss: 0.4436 | Cor: 0.7501 | LR: 5.79e-04 ✓ BEST
Epoch 101 | Loss: 0.4431 | Cor: 0.7505 | LR: 5.70e-04 ✓ BEST
Epoch 102 | Loss: 0.4427 | Cor: 0.7505 | LR: 5.61e-04 ✓ BEST
Epoch 103 | Loss: 0.4418 | Cor: 0.7508 | LR: 5.53e-04 ✓ BEST
Epoch 104 | Loss: 0.4406 | Cor: 0.7514 | LR: 5.44e-04 ✓ BEST
Epoch 105 | Loss: 0.4403 | Cor: 0.7518 | LR: 5.35e-04 ✓ BEST
Epoch 106 | Loss: 0.4396 | Cor: 0.7524 | LR: 5.27e-04 ✓ BEST
Epoch 107 | Loss: 0.4386 | Cor: 0.7526 | LR: 5.18e-04 ✓ BEST
Epoch 108 | Loss: 0.4385 | Cor: 0.7527 | LR: 5.09e-04 ✓ BEST
Epoch 109 | Loss: 0.4375 | Cor: 0.7534 | LR: 5.01e-04 ✓ BEST
Epoch 110 | Loss: 0.4359 | Cor: 0.7540 | LR: 4.92e-04 ✓ BEST
Epoch 111 | Loss: 0.4361 | Cor: 0.7542 | LR: 4.83e-04 ✓ BEST
Epoch 112 | Loss: 0.4351 | Cor: 0.7543 | LR: 4.74e-04 ✓ BEST
Epoch 113 | Loss: 0.4343 | Cor: 0.7549 | LR: 4.66e-04 ✓ BEST
Epoch 114 | Loss: 0.4335 | Cor: 0.7554 | LR: 4.57e-04 ✓ BEST
Epoch 115 | Loss: 0.4331 | Cor: 0.7558 | LR: 4.48e-04 ✓ BEST
Epoch 116 | Loss: 0.4323 | Cor: 0.7561 | LR: 4.40e-04 ✓ BEST
Epoch 117 | Loss: 0.4312 | Cor: 0.7567 | LR: 4.31e-04 ✓ BEST
Epoch 118 | Loss: 0.4307 | Cor: 0.7569 | LR: 4.22e-04 ✓ BEST
Epoch 119 | Loss: 0.4298 | Cor: 0.7571 | LR: 4.14e-04 ✓ BEST
Epoch 120 | Loss: 0.4294 | Cor: 0.7576 | LR: 4.05e-04 ✓ BEST
Epoch 121 | Loss: 0.4291 | Cor: 0.7574 | LR: 3.97e-04
Epoch 122 | Loss: 0.4278 | Cor: 0.7582 | LR: 3.88e-04 ✓ BEST
Epoch 123 | Loss: 0.4279 | Cor: 0.7582 | LR: 3.80e-04
Epoch 124 | Loss: 0.4265 | Cor: 0.7588 | LR: 3.71e-04 ✓ BEST
Epoch 125 | Loss: 0.4257 | Cor: 0.7592 | LR: 3.63e-04 ✓ BEST
Epoch 126 | Loss: 0.4246 | Cor: 0.7596 | LR: 3.55e-04 ✓ BEST
Epoch 127 | Loss: 0.4244 | Cor: 0.7597 | LR: 3.46e-04 ✓ BEST
Epoch 128 | Loss: 0.4235 | Cor: 0.7602 | LR: 3.38e-04 ✓ BEST
Epoch 129 | Loss: 0.4226 | Cor: 0.7607 | LR: 3.30e-04 ✓ BEST
Epoch 130 | Loss: 0.4227 | Cor: 0.7607 | LR: 3.22e-04 ✓ BEST
Epoch 131 | Loss: 0.4220 | Cor: 0.7610 | LR: 3.13e-04 ✓ BEST
Epoch 132 | Loss: 0.4212 | Cor: 0.7613 | LR: 3.05e-04 ✓ BEST
Epoch 133 | Loss: 0.4209 | Cor: 0.7614 | LR: 2.97e-04 ✓ BEST
Epoch 134 | Loss: 0.4195 | Cor: 0.7622 | LR: 2.89e-04 ✓ BEST
Epoch 135 | Loss: 0.4194 | Cor: 0.7623 | LR: 2.82e-04 ✓ BEST
Epoch 136 | Loss: 0.4185 | Cor: 0.7627 | LR: 2.74e-04 ✓ BEST
Epoch 137 | Loss: 0.4185 | Cor: 0.7626 | LR: 2.66e-04
Epoch 138 | Loss: 0.4175 | Cor: 0.7629 | LR: 2.58e-04 ✓ BEST
Epoch 139 | Loss: 0.4173 | Cor: 0.7631 | LR: 2.51e-04 ✓ BEST
Epoch 140 | Loss: 0.4163 | Cor: 0.7635 | LR: 2.43e-04 ✓ BEST
Epoch 141 | Loss: 0.4156 | Cor: 0.7639 | LR: 2.36e-04 ✓ BEST
Epoch 142 | Loss: 0.4153 | Cor: 0.7641 | LR: 2.28e-04 ✓ BEST
Epoch 143 | Loss: 0.4145 | Cor: 0.7644 | LR: 2.21e-04 ✓ BEST
Epoch 144 | Loss: 0.4144 | Cor: 0.7643 | LR: 2.14e-04
